Q1,Q2,Q3,Q4,Q21,Q22,Q23,College,Degree
2,2,2,2,,,,BU,BS
1,1,1,1,2,1,1,TE,AAS
2,2,2,3,2,4,1,BU,BS
1,3,3,3,1,1,1,ED,AA
2,3,1,3,3,4,1,ED,BS
1,1,2,1,3,1,2,BU,BS
2,2,2,3,2,4,3,BU,BS
,2,2,2,1,1,1,HP,BS
4,4,4,4,1,4,2,BU,BS
1,2,2,2,2,1,2,PH,PD
1,1,1,1,4,1,1,HP,BS
1,1,1,1,,,,ED,BS
1,2,1,1,1,1,1,AS,BS
1,2,2,2,2,1,4,TE,BS
1,2,3,2,2,2,2,AS,MSW
1,1,1,1,1,1,1,AS,BS
1,1,1,1,4,1,1,HP,BS
1,2,1,1,2,1,1,BU,BS
3,4,2,3,1,3,2,KE,BFA
2,3,2,2,1,4,2,KE,BFA
1,2,2,1,4,1,2,HP,BS
2,2,3,1,3,1,4,HP,BS
1,2,1,3,1,2,1,ED,BS
1,1,1,1,3,1,1,BU,MISI
1,2,2,2,2,1,1,KE,BFA
4,4,4,4,1,4,4,TE,AAS
1,2,1,2,4,1,2,KE,BFA
1,1,1,1,4,1,1,ED,BS
3,2,3,3,1,3,1,TE,AAS
1,1,1,2,3,2,2,PH,PD
1,1,2,1,4,1,1,KE,BFA
2,2,2,3,2,2,3,BU,AAS
2,2,2,2,3,1,2,TE,BS
2,2,3,3,2,2,4,HP,BS
4,4,3,4,1,4,4,KE,BFA
2,2,1,2,3,3,2,BU,AAS
2,2,2,3,2,3,2,TE,BS
1,2,2,2,1,2,1,BU,BS
1,1,2,2,2,2,1,HP,BS
2,2,2,3,1,3,3,ED,BS
2,1,2,2,2,2,4,KE,BFA
2,2,2,1,2,2,1,ED,BS
2,2,2,3,,,,AS,AS
1,2,1,1,2,1,1,AS,BSW
1,1,1,1,3,1,1,ED,BS
1,1,1,2,2,1,1,BU,BS
1,2,1,1,4,1,2,TE,BAS
2,3,2,3,2,2,2,BU,BS
2,2,2,2,1,2,2,BU,BS
1,1,1,1,2,1,1,CP,EDD
2,2,1,2,,,,BU,AAS
1,1,2,1,3,1,1,ED,BS
2,2,2,2,2,2,1,BU,BS
3,3,3,4,1,4,4,HP,BS
2,2,2,2,2,2,2,KE,BFA
1,2,1,1,2,1,3,HP,BS
2,2,2,2,1,2,3,ED,BS
2,2,2,3,1,2,3,BU,CERT
1,1,1,2,3,1,1,AS,BSW
2,2,2,3,3,2,1,BU,BS
2,2,2,2,2,2,1,BU,BS
1,1,1,1,3,1,1,BU,BS
